,monto,antiguedad_cuenta,tipo_tarjeta,es_fraude
0,46.92680899768591,39,MasterCard,0
1,301.0121430917521,6,Visa,0
2,131.67456935454493,31,Visa,0
3,91.29425537759532,47,Amex,0
4,16.962487046234628,18,MasterCard,0
5,16.959629191460518,5,Amex,0
6,5.983876860868068,19,Amex,0
7,201.12308644799396,26,Visa,0
8,91.90821536272645,42,MasterCard,0
9,123.12500617045903,36,Visa,0
10,2.0799307999138623,47,Visa,0
11,350.3557475158312,6,MasterCard,0
12,178.6429543354675,4,Visa,0
13,23.8687625248947,10,MasterCard,0
14,20.067898874966335,14,MasterCard,0
15,20.261142283225706,2,Visa,0
16,36.27537294604771,4,Visa,0
17,74.39278308608544,22,Amex,0
18,56.55370667803366,36,Visa,0
19,34.42229925539415,8,MasterCard,0
20,94.63708738997987,14,Amex,0
21,15.023452872733866,2,MasterCard,0
22,34.551551200240226,28,Amex,0
23,45.6277218220847,5,Visa,0
24,60.893468785977504,16,Visa,0
25,153.7936011030912,25,Visa,0
26,22.273586212869027,20,MasterCard,0
27,72.20291550331277,7,Amex,0
28,89.75047213097605,20,MasterCard,0
29,4.756384975640855,10,Amex,0
30,93.533302064961,37,Visa,0
31,18.696125197741644,7,MasterCard,0
32,6.726393087930424,41,Visa,0
33,297.3687793506931,23,MasterCard,0
34,337.06303424611724,34,Visa,0
35,165.23315728128767,13,MasterCard,0
36,36.32878599687583,13,MasterCard,0
37,10.277731500250624,9,Amex,0
38,115.27507630986618,11,Visa,0
39,58.009084258539836,37,Amex,0
40,13.015223395444863,43,Amex,0
41,68.35472281341501,45,Visa,0
42,3.4993721443479084,33,MasterCard,0
43,240.04228873930236,40,Amex,0
44,29.94577768406861,9,Visa,0
45,108.62557985649804,16,MasterCard,0
46,37.354658165762366,16,Amex,0
47,73.41108959092286,2,Amex,0
48,79.12237979817975,30,Amex,0
49,20.438859950790576,0,MasterCard,0
50,349.28071327362267,11,Amex,0
51,149.22453771381407,38,MasterCard,0
52,280.50944192915824,3,Amex,0
53,225.21519975341965,41,Visa,0
54,91.1054412383275,12,Amex,0
55,254.9435379269405,33,Visa,0
56,9.265545895311563,41,Visa,0
57,21.813469463126744,20,Visa,0
58,4.628196568683196,21,MasterCard,0
59,39.35320868030868,3,Visa,0
60,49.21302917942186,17,Amex,0
61,31.65604432088257,4,MasterCard,0
62,176.45578652409338,18,Visa,0
63,44.12269995298701,1,MasterCard,0
